	sideefects
16683	, hypotelorism of orbit, Hypotelorism of orbit
16684	, hemianopia homonymous, Hemianopia homonymous
16685	, oedema peripheral, Oedema peripheral
16686	, cerebral cyst, Cerebral cyst
16687	, prostatic obstruction, Prostatic obstruction
16688	, bladder prolapse, Bladder prolapse
16689	, rectal prolapse, Rectal prolapse
16690	, vaginal prolapse, Vaginal prolapse
16691	, Uterovaginal prolapse, uterovaginal prolapse,prolapse uterovaginal, uterovaginal prolapse
16692	, suture rupture, Suture rupture
16693	, blister rupture, Blister rupture
16694	, oesophageal rupture, Oesophageal rupture
16695	, ureteric haemorrhage, Ureteric haemorrhage
16696	, rectovaginal septum abscess, Rectovaginal septum abscess
16697	, kidney rupture, Kidney rupture
16698	, infected neoplasm, Infected neoplasm
16699	, epididymal tenderness, Epididymal tenderness
16700	, vaginal lesion, Vaginal lesion
16701	, meniscus removal, Meniscus removal
16702	, nephrostomy tube removal, Nephrostomy tube removal
16703	, gastrointestinal tube removal, Gastrointestinal tube removal
16704	, mastoid effusion, Mastoid effusion
16705	, mucosal erosion, Mucosal erosion
16706	, nasal mucosal erosion, Nasal mucosal erosion
16707	, ectopic kidney, Ectopic kidney
16708	, ligament sprain, Ligament sprain
16709	, csf shunt operation, CSF shunt operation
16710	, superior sagittal sinus thrombosis, Superior sagittal sinus thrombosis
16711	, haemangioma of spleen, Haemangioma of spleen
16712	, cerebellar haematoma, Cerebellar haematoma
16713	, cerebellar haemorrhage, Cerebellar haemorrhage
16714	, fistula inflammation, Fistula inflammation
16715	, infected fistula, Infected fistula
16716	, urethral repair, Urethral repair
16717	, pancreatic enlargement, Pancreatic enlargement
16718	, gastric volvulus, Gastric volvulus
16719	, porcelain gallbladder, Porcelain gallbladder
16720	, kidney angiomyolipoma, Kidney angiomyolipoma
16721	, papilloma excision, Papilloma excision
16722	, hepatic congestion, Hepatic congestion
16723	, haematoma infection, Haematoma infection
16724	, oral bacterial infection, Oral bacterial infection
16725	, infiltration anaesthesia, Infiltration anaesthesia
16726	, pancreatic atrophy, Pancreatic atrophy
16727	, cervical radiculopathy, Cervical radiculopathy
16728	, thymus enlargement, Thymus enlargement
16729	, eye luxation, Eye luxation
16730	, spinal flattening, Spinal flattening
16731	, spinal instability, Spinal instability
16732	, joint warmth, Joint warmth
16733	, joint stabilisation, Joint stabilisation
16734	, atypical femur fracture, Atypical femur fracture
16735	, joint noise, Joint noise
16736	, joint deposit, Joint deposit
16737	, joint tuberculosis, Joint tuberculosis
16738	, pleural adhesion, Pleural adhesion
16739	, pelvic prolapse, Pelvic prolapse
16740	, extremity contracture, Extremity contracture
16741	, atypical fracture, Atypical fracture
16742	, multiple injuries, Multiple injuries
16743	, inflammation of wound, Inflammation of wound
16744	, wound haemorrhage, Wound haemorrhage
16745	, atrophy of globe, Atrophy of globe
16746	, thalamus haemorrhage, Thalamus haemorrhage
16747	, cerebellar embolism, Cerebellar embolism
16748	, dry eye, Dry eye
16749	, respiratory moniliasis, Respiratory moniliasis
16750	, nasal cavity cancer, Nasal cavity cancer
16751	, nasal sinus cancer, Nasal sinus cancer
16752	, blood pressure systolic inspiratory decreased, Blood pressure systolic inspiratory decreased
16753	, peripheral pulse decreased, Peripheral pulse decreased
16754	, corneal decompensation, Corneal decompensation
16755	, oedema, Oedema
16756	, conjunctival deposit, Conjunctival deposit
16757	, conjunctival follicles, Conjunctival follicles
16758	, deposit eye, Deposit eye
16759	, ocular retrobulbar haemorrhage, Ocular retrobulbar haemorrhage
16760	, loss of proprioception, Loss of proprioception
16761	, angiogram abnormal, Angiogram abnormal
16762	, aortogram abnormal, Aortogram abnormal
16763	, angiogram peripheral abnormal, Angiogram peripheral abnormal
16764	, cerebral calcification, Cerebral calcification
16765	, eye operation, Eye operation
16766	, ear operation, Ear operation
16767	, flat anterior chamber of eye, Flat anterior chamber of eye
16768	, vasogenic cerebral oedema, Vasogenic cerebral oedema
16769	, spleen congestion, Spleen congestion
16770	, sinus congestion, Sinus congestion
16771	, gaze palsy, Gaze palsy
16772	, cerebral toxoplasmosis, Cerebral toxoplasmosis
16773	, thalamic infarction, Thalamic infarction
16774	, eyelash changes, Eyelash changes
16775	, oropharyngeal scar, Oropharyngeal scar
16776	, uterine scar, Uterine scar
16777	, mucosal infection, Mucosal infection
16778	, acanthamoeba infection, Acanthamoeba infection
16779	, bacillus bacteraemia, Bacillus bacteraemia
16780	, bacteroides bacteraemia, Bacteroides bacteraemia
16781	, clostridium bacteraemia, Clostridium bacteraemia
16782	, geotrichum infection, Geotrichum infection
16783	, oral infection, Oral infection
16784	, corneal transplant, Corneal transplant
16785	, skin graft, Skin graft
16786	, kidney enlargement, Kidney enlargement
16787	, oedematous kidney, Oedematous kidney
16788	, prostatic calcification, Prostatic calcification
16789	, saliva discolouration, Saliva discolouration
16790	, diabetic dermopathy, Diabetic dermopathy
16791	, diabetic dyslipidaemia, Diabetic dyslipidaemia
16792	, diabetic blindness, Diabetic blindness
16793	, diabetic foot, Diabetic foot
16794	, bilateral orchidectomy, Bilateral orchidectomy
16795	, head banging, Head banging
16796	, head lag, Head lag
16797	, oesophageal atresia, Oesophageal atresia
16798	, rectal lesion, Rectal lesion
16799	, tongue eruption, Tongue eruption
16800	, tongue coated, Tongue coated
16801	, tongue dry,dry tongue, tongue dry, Tongue dry
16802	, uterine hyperstimulation, Uterine hyperstimulation
16803	, tracheal cancer, Tracheal cancer
16804	, vulvar erosion, Vulvar erosion
16805	, vaginal erosion, Vaginal erosion
16806	, anal inflammation, Anal inflammation
16807	, rash vesicular, vesicular rash, Rash vesicular
16808	, autoimmune neuropathy, Autoimmune neuropathy
16809	, autoimmune retinopathy, Autoimmune retinopathy
16810	, toxic neuropathy, Toxic neuropathy
16811	, peripheral sensorimotor neuropathy, Peripheral sensorimotor neuropathy
16812	, somnolence neonatal, Somnolence neonatal
16813	, oral pruritus, Oral pruritus
16814	, oral contusion, Oral contusion
16815	, oral hairy leukoplakia, Oral hairy leukoplakia
16816	, dialysis related complication, Dialysis related complication
16817	, dialysis device insertion, Dialysis device insertion
16818	, transfusion related complication, Transfusion related complication
16819	, liver operation, Liver operation
16820	, lung operation, Lung operation
16821	, penile blister, Penile blister
16822	, stiff leg syndrome, Stiff leg syndrome
16823	, familial cold autoinflammatory syndrome, Familial cold autoinflammatory syndrome
16824	, head and neck cancer metastatic, Head and neck cancer metastatic
16825	, atelectasis neonatal, Atelectasis neonatal
16826	, pulmonary cavitation, Pulmonary cavitation
16827	, escherichia sepsis, Escherichia sepsis
16828	, application site oedema, Application site oedema
16829	, cerebrovascular stenosis, Cerebrovascular stenosis
16830	, cerebrovascular insufficiency, Cerebrovascular insufficiency
16831	, acute myeloid leukaemia recurrent, Acute myeloid leukaemia recurrent
16832	, acute lymphocytic leukaemia recurrent, Acute lymphocytic leukaemia recurrent
16833	, juvenile chronic myelomonocytic leukaemia, Juvenile chronic myelomonocytic leukaemia
16834	, leukaemia recurrent, Leukaemia recurrent
16835	, endocarditis enterococcal, Endocarditis enterococcal
16836	, cystitis klebsiella, Cystitis klebsiella
16837	, cystitis escherichia, Cystitis escherichia
16838	, polyomavirus-associated nephropathy, Polyomavirus-associated nephropathy
16839	, urate nephropathy, Urate nephropathy
16840	, radiation mucositis, Radiation mucositis
16841	, radiation oesophagitis, Radiation oesophagitis
16842	, nephrogenic anaemia, Nephrogenic anaemia
16843	, magnesium deficiency, Magnesium deficiency
16844	, androgen deficiency, Androgen deficiency
16845	, electrocardiogram ambulatory, Electrocardiogram ambulatory
16846	, selective mutism, Selective mutism
16847	, infantile colic, Infantile colic
16848	, skin sensitisation, Skin sensitisation
16849	, skin fragility, Skin fragility
16850	, skin dystrophy, Skin dystrophy
16851	, ultrasound thyroid abnormal, Ultrasound thyroid abnormal
16852	, ultrasound uterus abnormal, Ultrasound uterus abnormal
16853	, ultrasound bladder abnormal, Ultrasound bladder abnormal
16854	, electrocochleogram abnormal, Electrocochleogram abnormal
16855	, retinogram abnormal, Retinogram abnormal
16856	, audiogram abnormal, Audiogram abnormal
16857	, cough decreased, Cough decreased
16858	, puerperal pyrexia, Puerperal pyrexia
16859	, intrauterine infection, Intrauterine infection
16860	, vaginal infection, Vaginal infection
16861	, nicotinic acid deficiency, Nicotinic acid deficiency
16862	, vitamin b2 deficiency, Vitamin B2 deficiency
16863	, carnitine palmitoyltransferase deficiency, Carnitine palmitoyltransferase deficiency
16864	, sinus antrostomy, Sinus antrostomy
16865	, sinus operation, Sinus operation
16866	, viral load, Viral load
16867	, cytomegalovirus gastroenteritis, Cytomegalovirus gastroenteritis
16868	, cytomegalovirus colitis, Cytomegalovirus colitis
16869	, cytomegalovirus oesophagitis, Cytomegalovirus oesophagitis
16870	, narcotic bowel syndrome, Narcotic bowel syndrome
16871	, pelvic mass, Pelvic mass
16872	, abortion spontaneous, Abortion spontaneous
16873	, habitual abortion, Habitual abortion
16874	, mycobacterium avium complex infection, Mycobacterium avium complex infection
16875	, burkholderia cepacia complex infection, Burkholderia cepacia complex infection
16876	, bladder telangiectasia, Bladder telangiectasia
16877	, illogical thinking, Illogical thinking
16878	, sigmoidoscopy abnormal, Sigmoidoscopy abnormal
16879	, electromyogram abnormal, Electromyogram abnormal
16880	, meningitis leptospiral, Meningitis leptospiral
16881	, pneumonia adenoviral, Pneumonia adenoviral
16882	, intestinal polypectomy, Intestinal polypectomy
16883	, ileal operation, Ileal operation
16884	, psychological trauma, Psychological trauma
16885	, limb asymmetry, Limb asymmetry
16886	, tracheal mass, Tracheal mass
16887	, laryngeal mass, Laryngeal mass
16888	, bladder mass, Bladder mass
16889	, testicular mass, Testicular mass
16890	, mass excision, Mass excision
16891	, Uterine mass, mass uterine,uterine mass, uterine mass
16892	, skin mass, Skin mass
16893	, hepatic mass, Hepatic mass
16894	, spontaneous haematoma, Spontaneous haematoma
16895	, spontaneous haemorrhage, Spontaneous haemorrhage
16896	, cheyne-stokes respiration, Cheyne-Stokes respiration
16897	, ammonia abnormal, Ammonia abnormal
16898	, premature menopause, Premature menopause
16899	, urethral discharge, Urethral discharge
16900	, erection increased, Erection increased
16901	, thirst decreased, Thirst decreased
16902	, loss of libido, Loss of libido
16903	, loss of dreaming, Loss of dreaming
16904	, humidity intolerance, Humidity intolerance
16905	, postural orthostatic tachycardia syndrome, Postural orthostatic tachycardia syndrome
16906	, nail candida, Nail candida
16907	, infected lymphocele, Infected lymphocele
16908	, gastrostomy closure, Gastrostomy closure
16909	, intussusception, Intussusception
16910	, medulloblastoma recurrent, Medulloblastoma recurrent
16911	, neuroblastoma recurrent, Neuroblastoma recurrent
16912	, initial insomnia, Initial insomnia
16913	, scarlet fever, Scarlet fever
16914	, Growth of eyelashes, eyelashes growth,growth of eyelashes, growth of eyelashes
16915	, growth failure, Growth failure
16916	, abnormal clotting factor, Abnormal clotting factor
16917	, clotting factor transfusion, Clotting factor transfusion
16918	, cautery to nose, Cautery to nose
16919	, application site joint erythema, Application site joint erythema
16920	, administration site swelling, Administration site swelling
16921	, drug resistance, Drug resistance
16922	, drug detoxification, Drug detoxification
16923	, drug ineffective, Drug ineffective
16924	, drug effective for unapproved indication, Drug effective for unapproved indication
16925	, vulvovaginal dryness, Vulvovaginal dryness
16926	, supernumerary nipple, Supernumerary nipple
16927	, vaginal operation, Vaginal operation
16928	, extrarenal pelvis, Extrarenal pelvis
16929	, thoracic haemorrhage, Thoracic haemorrhage
16930	, graft haemorrhage, Graft haemorrhage
16931	, mucocutaneous haemorrhage, Mucocutaneous haemorrhage
16932	, bone infarction, Bone infarction
16933	, catheter management, Catheter management
16934	, protuberant ear, Protuberant ear
16935	, heart sounds, Heart sounds
16936	, spleen operation, Spleen operation
16937	, skin operation, Skin operation
16938	, calculus bladder, Calculus bladder
16939	, ureteric repair, Ureteric repair
16940	, prolapse repair, Prolapse repair
16941	, chemical burn of gastrointestinal tract, Chemical burn of gastrointestinal tract
16942	, ultrasound scan vagina, Ultrasound scan vagina
16943	, chemical burn of respiratory tract, Chemical burn of respiratory tract
16944	, breath sounds, Breath sounds
16945	, heart rate irregular, Heart rate irregular
16946	, hypertonic bladder, Hypertonic bladder
16947	, stoma complication, Stoma complication
16948	, vaccination complication, Vaccination complication
16949	, haemodialysis complication, Haemodialysis complication
16950	, sedation complication, Sedation complication
16951	, urinary straining, Urinary straining
16952	, urinary casts, Urinary casts
16953	, eustachian tube obstruction, Eustachian tube obstruction
16954	, eustachian tube dysfunction, Eustachian tube dysfunction
16955	, biopsy breast normal, Biopsy breast normal
16956	, abnormal labour, Abnormal labour
16957	, globulin abnormal, Globulin abnormal
16958	, cytokine abnormal, Cytokine abnormal
16959	, cortisol abnormal, Cortisol abnormal
16960	, serology abnormal, Serology abnormal
16961	, po2 abnormal, PO2 abnormal
16962	, tri-iodothyronine abnormal, Tri-iodothyronine abnormal
16963	, thyroxine abnormal, Thyroxine abnormal
16964	, gastrointestinal bacterial overgrowth, Gastrointestinal bacterial overgrowth
16965	, overgrowth fungal, Overgrowth fungal
16966	, ear lobe infection, Ear lobe infection
16967	, parainfluenzae virus infection, Parainfluenzae virus infection
